1: t14_CMakeFiles_VTKData  --> 192.375
85: t15825_lib_libvtkInteractionImage_7_1_so_1  --> 11.810613365751067
86: t13315_bin_vtkFiltersFlowPathsCxxTests  --> 11.54630849343901
87: t8272_lib_libvtkRenderingFreeType_7_1_so_1  --> 11.511866273847525
88: t17349_bin_vtkRenderingLabelCxxTests  --> 11.369861699943696
89: t14025_bin_vtkFiltersPointsCxxTests  --> 11.345025187230576
90: t15547_bin_vtkIOAMRCxxTests  --> 11.141085448965574
91: t7073_lib_libvtkFiltersStatistics_7_1_so_1  --> 10.858917038931743
92: t12070_lib_libvtkDomainsChemistry_7_1_so_1  --> 10.839947771817673
93: t13937_lib_libvtkFiltersParallelImaging_7_1_so_1  --> 10.739198661213168
94: t14159_bin_vtkFiltersSelectionCxxTests  --> 10.659556976155041
95: t13072_lib_libvtkRenderingVolumeOpenGL2_7_1_so_1  --> 10.618706364002005
96: t14309_lib_libvtkIONetCDF_7_1_so_1  --> 10.499240908967085
97: t12209_bin_vtkDomainsChemistryOpenGL2CxxTests  --> 10.154380724570334
98: t13785_bin_vtkFiltersModelingCxxTests  --> 9.815328731592578
99: t4658_lib_libvtksys_7_1_so_1  --> 9.803775835719414
100: t17552_lib_libvtkViewsInfovis_7_1_so  --> 9.769710824742823
